id,co2,inoc,n.trt,rep,sow_date,rack,germ_date,thin_date,harvest_date,focal.area,tla,focal.biomass,leaf.biomass,chlor.biomass,stem.biomass,root.biomass,nodule.biomass,total.biomass,bvr,nmass.focal,nmass.nod,nmass.tl,nmass.tr,nmass.ts,nmass.chl,cmass.focal,cmass.nod,cmass.tl,cmass.tr,cmass.ts,cmass.chl,chlA.ugml,chlB.ugml,chlA.gml,chlB.gml,chlA.g,chlB.g,chlA.gm2,chlB.gm2,chlA.mmolm2,chlB.mmolm2,chl.marea,chlA.mmolg,chlB.mmolg,chl.mmolg,chl.mmolm2,chlA.chlB,disk.area,chl.leaf.area,tleaf,anet,anet.growth,gsw,gsw.growth,ci.ca,vcmax25,jmax25,jmax25.vcmax25,rd25,tpu,tleaf_wk6,anet_wk6,gsw_wk6,ci.ca_wk6,vcmax25_wk6,jmax25_wk6,jmax25.vcmax25_wk6,rd25_wk6,tpu_wk6,leaf.d13c,leaf.d15n,ref.15n,ndfa,chi,chi.assume,beta,marea,marea.chl,narea,narea.chl,p.rubisco,p.bioe,p.lightharv,p.photo,p.structure,pnue,pnue.growth,iwue,iwue.growth,narea.chi,vcmax.chi,stomlim,leaf.totaln,stem.totaln,root.totaln,root.totalc,nod.totaln,nod.totalc,wpn,cbg,ncost
e_y_280_27,elv,inoc,280,27,6/17/22,6b,6/22/22,7/2/22,8/6/22,27.5,924.7,0.232,6.573,0.173,3.553,5.527,0.439,16.265,2.711,0.0186,0.0572,0.02,0.0161,0.013,0.0189,0.4229,0.4624,0.432,0.4535,0.4214,0.4334,2.9043,0.6444,2.90E-06,6.44E-07,2.90E-05,6.44E-06,0.096809556,0.021479111,0.108347479,0.023669224,77.92792793,0.001390355,3.04E-04,0.001694087,0.132016703,4.507149065,3,22.2,25.003,16.837,25.98,0.22,0.229,0.659,86.862,161.126,1.855,3.088,9.716,27.454,4.603,0.064,0.698,29.74,57.869,1.946,3.088,NA,-23.54,18.1,28.1,34.39380911,0.602593024,0.50949692,94.38257232,84.3636,77.9279,1.5725,1.4526,0.4311,0.0815,0.033,0.5457,0.1074,149.8965,231.2949,76.5318,113.4498,2.6096,144.147,0.3425,0.1389,0.0464,0.0892,2.5067,0.0251,0.203,0.2996,2.7097,9.0436
e_y_280_28,elv,inoc,280,28,6/17/22,3t,6/22/22,7/2/22,8/6/22,29.2,706.48,0.22,4.406,0.198,2.009,3.488,0.231,10.332,1.722,0.0199,0.0567,0.042,0.0122,0.0097,0.0171,0.4189,0.4532,0.5693,0.435,0.4192,0.4259,2.0881,0.9733,2.09E-06,9.73E-07,2.09E-05,9.73E-06,0.067357849,0.031395699,0.075385669,0.034596955,78.88446215,9.56E-04,4.39E-04,0.001394224,0.109982625,2.145448318,3.1,25.1,24.998,13.105,25.29,0.15,0.131,0.621,65.241,137.053,2.101,0.866,NA,27.118,17.638,0.316,0.739,87.331,157.374,1.802,4.645,10.409,-25.02,22.2,28.1,20.29234738,0.670970534,0.577733113,170.8967261,75.3425,78.8845,1.4978,1.5682,0.34,0.0728,0.0255,0.4382,0.0964,122.4923,236.3854,87.3667,193.0534,2.2323,97.2338,0.3665,0.1931,0.0195,0.0426,1.5172,0.0131,0.1047,0.2683,1.6219,6.0441
e_y_350_29,elv,inoc,350,29,6/17/22,2b,6/22/22,7/2/22,8/6/22,27.1,767.46,0.175,5.003,0.152,2.652,3.353,0.29,11.45,1.908,0.0249,0.0549,0.0197,0.0143,0.0093,0.0223,0.4272,0.4387,0.416,0.4495,0.4232,0.4333,1.8964,0.2171,1.90E-06,2.17E-07,1.90E-05,2.17E-06,0.063211667,0.007236333,0.070745338,0.007974185,60.07905138,0.001177538,1.33E-04,0.001310266,0.078719522,8.73531715,3,25.3,25.006,18.53,26.812,0.249,0.248,0.663,108.985,189.622,1.74,6.11,10.866,26.522,25.913,0.53,0.758,119.086,232.663,1.954,4.434,15.109,-24.28,18.06,24.22,24.4492955,0.63675585,0.543589141,126.2167294,64.5756,60.0791,1.6105,1.4984,0.5282,0.0936,0.0191,0.6409,0.0723,161.0787,233.073,74.4177,108.1129,2.5293,171.1567,0.3801,0.1067,0.0247,0.048,1.507,0.0159,0.1272,0.1954,1.6343,8.3621
e_y_350_30,elv,inoc,350,30,6/17/22,1b,6/22/22,7/2/22,8/6/22,28.2,696.29,0.194,4.484,0.177,2.108,3.311,0.28,10.36,1.727,0.0235,0.0573,0.0219,0.0155,0.0121,0.0208,0.4255,0.4494,0.4324,0.4473,0.4151,0.4322,1.8173,0.1901,1.82E-06,1.90E-07,1.82E-05,1.90E-06,0.060576889,0.006337778,0.067796543,0.006984008,63.21428571,0.001072488,1.10E-04,0.001182969,0.074780551,9.558064516,3,28,25.006,18.193,28.774,0.278,0.283,0.699,91.047,167.627,1.841,3.687,10.778,26.246,26.872,0.509,0.741,121.779,229.946,1.888,3.687,13.443,-23.5,16.34,24.22,31.27604683,0.60074786,0.50765557,92.93729224,68.7943,63.2143,1.616,1.4849,0.4397,0.0825,0.0183,0.5406,0.0787,157.6147,249.283,65.4424,101.6749,2.6899,151.5561,0.3106,0.1071,0.0255,0.0514,1.4811,0.016,0.1258,0.2,1.6069,8.0342
e_y_350_31,elv,inoc,350,31,6/17/22,4b,6/21/22,7/2/22,8/6/22,28.6,752.78,0.249,5.235,0.224,3.468,3.648,0.177,12.752,2.125,0.0177,0.0547,0.0178,0.0116,0.0088,0.0171,0.4278,0.447,0.4365,0.4514,0.426,0.4367,2.8875,0.679,2.89E-06,6.79E-07,2.89E-05,6.79E-06,0.093145054,0.021903656,0.104246235,0.024137058,84.52830189,0.00123327,2.86E-04,0.00151882,0.128383293,4.252488905,3.1,26.5,24.997,16.019,28.813,0.171,0.173,0.593,83.612,161.638,1.933,1.031,9.815,27.217,33.722,0.659,0.752,68.333,136.567,1.999,1.031,9.998,-23.02,20.79,24.22,13.61381226,0.578617675,0.485571122,77.36585849,87.0629,84.5283,1.5436,1.4987,0.4228,0.0833,0.0312,0.5372,0.1143,145.2852,261.3211,93.6784,166.5491,2.6678,144.503,0.3976,0.1015,0.0307,0.0424,1.6469,0.0097,0.0791,0.1842,1.726,9.3679
e_y_350_32,elv,inoc,350,32,6/17/22,4b,6/22/22,7/2/22,8/6/22,28.8,710.94,0.242,5.122,0.187,2.849,6.955,0.093,15.206,2.534,0.0195,0.0603,0.0197,0.0097,0.0104,0.0176,0.4261,0.4513,0.4474,0.4097,0.4285,0.4319,2.9728,0.594,2.97E-06,5.94E-07,2.97E-05,5.94E-06,0.099091667,0.019800333,0.110901575,0.02181927,77.27272727,0.001435197,2.82E-04,0.001717564,0.132720846,5.004545378,3,24.2,25.005,17.641,28.846,0.21,0.204,0.628,87.049,164.101,1.885,1.356,9.982,27.406,34.663,0.476,0.666,81.258,158.436,1.95,1.356,11.844,-23.04,20.66,24.22,14.12978766,0.579539332,0.486490874,77.9545559,84.0278,77.2727,1.636,1.5045,0.4153,0.0798,0.0321,0.5271,0.1027,150.9602,246.8453,84.0048,141.402,2.823,150.2038,0.3562,0.1094,0.0296,0.0673,2.8492,0.0056,0.042,0.2119,2.8912,13.6431
e_y_630_33,elv,inoc,630,33,6/17/22,2t,6/23/22,7/2/22,8/6/22,25.8,778.67,0.206,5.258,0.181,3.336,4.297,0.023,13.095,2.183,0.0286,0.0524,0.0318,0.0185,0.0216,0.0306,0.4385,0.4502,0.4375,0.4336,0.414,0.4463,3.1803,0.6946,3.18E-06,6.95E-07,3.18E-05,6.95E-06,0.106009556,0.023154111,0.11864395,0.025515015,73.27935223,0.001619064,3.48E-04,0.001967252,0.144158965,4.578433396,3,24.7,24.993,9.105,16.863,0.107,0.117,0.638,51.067,97.57,1.911,2.357,6.453,26.954,19.99,0.266,0.657,98.138,173.33,1.766,2.357,11.586,-21.12,14.4,14.7175,2.023259519,0.491232008,0.398366058,38.17468779,79.845,73.2794,2.2836,2.0958,0.1745,0.034,0.025,0.2335,0.0685,55.8206,103.383,85.0935,144.1282,4.6487,103.957,0.3726,0.1781,0.0722,0.0793,1.863,0.0012,0.0104,0.3308,1.8733,5.6624
e_y_630_34,elv,inoc,630,34,6/17/22,3t,6/23/22,7/2/22,8/6/22,24.5,885.58,0.148,6.758,0.144,2.951,4.213,0.047,14.113,2.352,0.0422,0.0526,0.0157,0.0215,0.0256,0.0361,0.4432,0.4403,0.3409,0.4241,0.4093,0.4363,3.1598,0.608,3.16E-06,6.08E-07,3.16E-05,6.08E-06,0.105327222,0.020265444,0.117880295,0.022331806,60.25104603,0.001956485,3.71E-04,0.002327131,0.140212101,5.197380324,3,23.9,24.998,18.585,32.112,0.208,0.217,0.605,123.578,214.502,1.736,6.967,12.936,27.709,15.793,0.261,0.723,82.045,136.211,1.66,4.952,9.887,-21.95,13.26,14.7175,9.287876374,0.529363984,0.436419225,51.85594337,60.4082,60.251,2.5468,2.5402,0.3787,0.067,0.0201,0.4658,0.0417,102.1632,176.5221,89.351,147.9816,4.8111,233.4462,0.4511,0.1185,0.0756,0.0906,1.7866,0.0025,0.0207,0.2871,1.8073,6.2949
e_y_630_35,elv,inoc,630,35,6/17/22,4b,6/21/22,7/2/22,8/6/22,28,997.56,0.168,7.008,0.156,3.636,4.708,0.037,15.545,2.591,0.0366,0.05,0.0286,0.0181,0.0218,0.036,0.4424,0.4486,0.4355,0.4334,0.4139,0.4429,4.0834,0.9696,4.08E-06,9.70E-07,4.08E-05,9.70E-06,0.136114,0.032321,0.152336292,0.035616604,56.52173913,0.002695181,6.30E-04,0.00332532,0.187952896,4.211317719,3,27.6,25.002,18.086,23.177,0.284,0.297,0.707,77.265,137.307,1.777,1.025,8.007,27.522,42.132,0.757,0.726,87.178,170.994,1.961,1.025,12.624,-22.8,13.22,14.7175,9.542775211,0.568481939,0.475456334,71.19772748,60,56.5217,2.1936,2.0664,0.2749,0.0498,0.0331,0.3578,0.0479,115.4285,147.9203,63.6831,78.037,3.8587,135.9146,0.2618,0.2121,0.0792,0.0851,2.0406,0.0019,0.0166,0.3783,2.0572,5.4388
e_y_630_36,elv,inoc,630,36,6/17/22,2t,6/22/22,7/2/22,8/6/22,34.1,1157.47,0.27,7.746,0.243,4.152,4.811,0.035,16.987,2.831,0.029,0.0479,0.0285,0.0162,0.0217,0.0308,0.438,0.4293,0.4341,0.4363,0.4185,0.438,3.5474,0.6949,3.55E-06,6.95E-07,3.55E-05,6.95E-06,0.118246833,0.023162167,0.132339687,0.025523892,74.31192661,0.001780867,3.43E-04,0.002124337,0.157863579,5.105171508,3,32.7,24.993,18.27,28.983,0.226,0.23,0.638,96.544,174.996,1.813,2.891,10.604,27.176,20.297,0.225,0.597,114.801,217.388,1.894,2.891,15.108,-21.8,15.11,14.7175,0,0.522467872,0.429537366,49.05722164,79.1789,74.3119,2.2922,2.1513,0.3287,0.0607,0.0267,0.4161,0.0675,111.5857,177.0164,80.8407,126.013,4.3873,184.7846,0.3701,0.236,0.0903,0.0781,2.0989,0.0017,0.015,0.4061,2.114,5.2054
e_n_0_37,elv,no.inoc,0,37,6/17/22,5t,6/23/22,7/2/22,8/6/22,5.7,43.17,0.027,0.202,0.016,0.238,0.378,0.037,0.871,0.145,0.0139,0.0455,0.0161,0.009,0.0088,0.0142,0.4015,0.4522,0.3933,0.3866,0.4135,0.4105,0.3078,0,3.08E-07,0,3.08E-06,0,0.025651389,0,0.028708564,0,45.71428571,6.28E-04,0,6.28E-04,0.028708564,Inf,1.2,3.5,24.992,4.479,8.222,0.06,0.065,0.688,27.158,51.691,1.903,2.246,3.675,27.428,2.189,0.038,0.754,7.796,19.915,2.555,-2.89,NA,-25.21,-1.99,-1.5875,0,0.679763767,0.586508172,185.1937945,47.3684,45.7143,0.6579,0.635,0.3222,0.0625,0.0164,0.4011,0.1151,95.3055,174.9502,74.65,126.4923,0.9679,39.9521,0.334,0.0039,0.0021,0.0034,0.1461,0.0017,0.0167,0.011,0.1629,14.7604
e_n_0_38,elv,no.inoc,0,38,6/17/22,4t,6/23/22,7/2/22,8/6/22,5.7,32.1,0.021,0.106,0.015,0.133,0.407,0.005,0.666,0.111,0.0247,0.0467,0.0163,0.0109,0.0103,0.0279,0.4046,0.4437,0.3521,0.3909,0.4066,0.4152,0.3048,0,3.05E-07,0,3.05E-06,0,0.025395833,0,0.028422551,0,35.71428571,7.96E-04,0,7.96E-04,0.028422551,Inf,1.2,4.2,24.997,7.05,11.785,0.114,0.125,0.731,35.631,66.881,1.877,1.931,4.628,27.909,-0.039,0.02,0.975,4.475,9.712,2.17,1.453,0.812,-23.84,-1.73,-1.5875,0,0.616436576,0.523311861,106.0530623,36.8421,35.7143,0.9089,0.8811,0.306,0.0585,0.0117,0.3762,0.0587,108.5934,181.5282,61.8421,94.28,1.4744,57.8016,0.2835,0.0026,0.0014,0.0044,0.1591,2.00E-04,0.0022,0.0086,0.1613,18.6518
e_n_0_39,elv,no.inoc,0,39,6/17/22,2b,6/23/22,7/2/22,8/6/22,8.1,50.35,0.052,0.204,0.029,0.247,0.621,0.022,1.123,0.187,0.0071,0.0302,0.0124,0.0077,0.0053,0.0092,0.3893,0.4374,0.3969,0.4072,0.4058,0.3996,1.2327,1.4797,1.23E-06,1.48E-06,1.23E-05,1.48E-05,0.038521406,0.046241719,0.043112451,0.050956747,61.70212766,6.99E-04,8.26E-04,0.00152457,0.094069198,0.83304443,3.2,4.7,24.998,2.548,5.1,0.037,0.039,0.71,19.949,37.385,1.874,2.459,NA,27.716,2.752,0.038,0.694,15.595,33.434,2.144,1.18,NA,-23.06,-0.22,-1.5875,100,0.580461026,0.487410663,78.54811027,64.1975,61.7021,0.4577,0.4399,0.3402,0.065,0.0778,0.4829,0.2524,77.9327,155.9877,68.8649,130.7692,0.7886,34.3675,0.3832,0.0031,0.0013,0.0048,0.2529,7.00E-04,0.0096,0.0098,0.2625,26.6884
e_n_0_40,elv,no.inoc,0,40,6/17/22,2b,6/23/22,7/2/22,8/6/22,7.1,54.51,0.046,0.221,0.028,0.189,0.374,0.041,0.853,0.142,0.0132,0.048,0.0195,0.0089,0.0102,0.0142,0.4084,0.4471,0.403,0.4192,0.3899,0.4154,0.7787,0,7.79E-07,0,7.79E-06,0,0.032444375,0,0.036311149,0,58.33333333,6.22E-04,0,6.22E-04,0.036311149,Inf,2.4,4.8,24.988,13.969,22.416,0.201,0.217,0.691,58.454,116.19,1.988,0.053,7.333,27.443,1.505,0.037,0.816,10.139,NA,NA,0.353,2.191,-24.42,-2.41,-1.5875,0,0.643224917,0.550044838,133.5211245,64.7887,58.3333,0.8585,0.7729,0.5315,0.1076,0.0171,0.6562,0.1363,227.8127,365.5702,69.4975,103.2995,1.3346,90.8765,0.2746,0.0053,0.0019,0.0033,0.1568,0.002,0.0183,0.0125,0.1751,14.0028
e_n_35_41,elv,no.inoc,35,41,6/17/22,4b,6/23/22,7/2/22,8/6/22,13.3,119.42,0.068,0.682,0.045,0.391,0.698,0.062,1.878,0.313,0.0165,0.0529,0.0145,0.0132,0.0084,0.0202,0.4086,0.449,0.4074,0.4154,0.4026,0.4216,2.4074,0.5062,2.41E-06,5.06E-07,2.41E-05,5.06E-06,0.080247,0.016872,0.08981097,0.01859235,54.21686747,0.001656513,3.43E-04,0.001999439,0.10840332,4.756223329,3,8.3,25,13.019,20.251,0.186,0.182,0.69,64.619,116.825,1.808,2.437,7.441,27.739,6.063,0.075,0.663,22.837,55.594,2.434,2.13,NA,-25.43,9.08,16.71,43.14390727,0.689949688,0.596673041,203.5559025,51.1278,54.2169,0.8416,0.8924,0.5993,0.1104,0.0442,0.7539,0.1,216.5801,336.8894,69.9946,111.2692,1.2197,93.6576,0.3115,0.0117,0.0033,0.0092,0.29,0.0033,0.0278,0.0275,0.3178,11.5529
e_n_35_42,elv,no.inoc,35,42,6/17/22,1b,6/23/22,7/2/22,8/6/22,10.5,130.39,0.055,0.638,0.031,0.313,1.074,0.061,2.117,0.353,0.0147,0.0442,0.0131,0.0107,0.0092,0.0142,0.3984,0.4494,0.4043,0.4364,0.4066,0.4103,0.3941,0,3.94E-07,0,3.94E-06,0,0.013138111,0,0.014703933,0,48.4375,3.04E-04,0,3.04E-04,0.014703933,Inf,3,6.4,25.008,7.764,13.485,0.115,0.117,0.708,32.838,67.192,2.046,0.388,4.618,27.283,6.799,0.079,0.638,52.671,94.614,1.796,5.175,7.258,-24.44,18.78,16.71,0,0.644149221,0.550967232,134.6036324,52.381,48.4375,0.7679,0.7101,0.3338,0.0696,0.0075,0.4109,0.1134,141.5488,245.8508,67.513,115.2564,1.1921,50.9789,0.2578,0.0096,0.0029,0.0115,0.4687,0.0027,0.0274,0.0267,0.4961,18.5731
e_n_35_43,elv,no.inoc,35,43,6/17/22,6t,6/23/22,7/2/22,8/6/22,11,98.97,0.074,0.51,0.042,0.365,0.732,0.039,1.688,0.281,0.0097,0.049,0.0183,0.0123,0.0077,0.0114,0.3845,0.4494,0.4294,0.3802,0.4133,0.3987,0.2647,0,2.65E-07,0,2.65E-06,0,0.014707222,0,0.016460053,0,57.53424658,2.86E-04,0,2.86E-04,0.016460053,Inf,1.8,7.3,25,6.141,10.48,0.11,0.112,0.755,27.399,56.723,2.07,1.272,NA,27.228,6.039,0.085,0.698,29.517,65.197,2.209,1.272,NA,-23.24,15.94,16.71,4.353972293,0.588757976,0.495690466,84.11666959,67.2727,57.5342,0.6525,0.5581,0.3277,0.0691,0.0107,0.4076,0.1889,131.7517,224.8426,55.8273,93.5714,1.1083,46.5369,0.2106,0.0105,0.0028,0.009,0.2783,0.0019,0.0175,0.0242,0.2958,12.2206
e_n_35_44,elv,no.inoc,35,44,6/17/22,3t,6/23/22,7/2/22,8/6/22,8.3,106.48,0.032,0.614,0.022,0.257,0.671,0.04,1.604,0.267,0.0208,0.0414,0.0123,0.0083,0.0079,0.0172,0.4009,0.4393,0.4053,0.4103,0.4073,0.406,0.2722,0,2.72E-07,0,2.72E-06,0,0.009074778,0,0.010156325,0,34.92063492,2.91E-04,0,2.91E-04,0.010156325,Inf,3,6.3,24.993,6.71,11.675,0.098,0.109,0.707,27.558,56.606,2.054,0.033,4.157,27.595,5.052,0.064,0.67,31.296,70.411,2.25,2.571,NA,-24.39,17.48,16.71,0,0.641838532,0.548661319,131.9160308,38.5542,34.9206,0.8035,0.7277,0.2677,0.056,0.0051,0.3288,0.0708,116.9179,203.4302,68.4694,107.1101,1.2518,42.936,0.2603,0.0087,0.002,0.0056,0.2753,0.0017,0.0176,0.018,0.2929,16.2943
e_n_70_45,elv,no.inoc,70,45,6/17/22,5t,6/23/22,7/2/22,8/6/22,16.3,170.82,0.082,1.011,0.058,0.441,0.871,0.064,2.445,0.408,0.0178,0.0522,0.0136,0.0105,0.0098,0.0182,0.4102,0.4566,0.4033,0.4061,0.3952,0.4198,1.7694,0.3749,1.77E-06,3.75E-07,1.77E-05,3.75E-06,0.058979667,0.012497333,0.066008961,0.013771621,58.58585859,0.001126705,2.35E-04,0.001361772,0.079780582,4.719380134,3,9.9,24.993,9.394,17.675,0.131,0.153,0.689,46.533,95.193,2.046,1.881,6.751,27.849,18.868,0.263,0.685,47.702,99.163,2.079,1.881,7.846,-24.86,28.45,28.28,0,0.663568365,0.570346241,159.8551992,50.3067,58.5859,0.894,1.0411,0.4063,0.0847,0.0279,0.5188,0.0921,147.1177,276.8049,71.7099,115.5229,1.3472,70.1254,0.3037,0.0162,0.0043,0.0091,0.3537,0.0033,0.0292,0.033,0.383,11.6135
e_n_70_46,elv,no.inoc,70,46,6/17/22,1t,6/23/22,7/2/22,8/6/22,11.1,105.95,0.073,0.52,0.059,0.25,0.835,0.027,1.691,0.282,0.0113,0.0348,0.0154,0.0093,0.0065,0.0163,0.4008,0.4471,0.4246,0.4414,0.4102,0.4061,0.5632,0,5.63E-07,0,5.63E-06,0,0.018167527,0,0.020332763,0,53.63636364,3.79E-04,0,3.79E-04,0.020332763,Inf,3.1,11,25.003,7.839,14.109,0.112,0.114,0.698,38.901,75.402,1.938,1.539,5.381,27.4,8.982,0.184,0.778,50.148,95.574,1.906,4.95,7.449,-24.9,28.28,28.28,0,0.665418679,0.572192732,162.5352651,65.7658,53.6364,0.7412,0.6045,0.4096,0.0809,0.0122,0.5028,0.1612,148.0693,266.502,69.9911,123.7632,1.1139,58.4609,0.307,0.0095,0.0016,0.0077,0.3685,9.00E-04,0.0121,0.0198,0.3806,19.2097
e_n_70_47,elv,no.inoc,70,47,6/17/22,4t,6/22/22,7/2/22,8/6/22,26.7,330.15,0.183,1.911,0.12,0.796,1.478,0.267,4.572,0.762,0.0191,0.056,0.0187,0.0125,0.015,0.0165,0.4163,0.4538,0.419,0.4269,0.4112,0.4294,1.3953,0.347,1.40E-06,3.47E-07,1.40E-05,3.47E-06,0.046508556,0.011567111,0.052051522,0.012746549,65.2173913,7.98E-04,1.95E-04,9.94E-04,0.064798071,4.020758088,3,18.4,25.013,21.037,33.692,0.271,0.263,0.647,99.741,191.087,1.916,1.095,11.241,27.352,14.582,0.174,0.628,72.935,137.867,1.89,1.095,9.417,-25.65,8.13,28.28,68.87711502,0.700140209,0.606842501,224.1335402,68.5393,65.2174,1.3098,1.2463,0.5943,0.116,0.0189,0.7293,0.0966,224.8595,360.1259,77.6273,128.1065,1.8707,142.4586,0.3396,0.0415,0.012,0.0185,0.6309,0.015,0.1212,0.087,0.7521,8.649
e_n_70_48,elv,no.inoc,70,48,6/17/22,5b,6/23/22,7/2/22,8/6/22,12.5,128.88,0.061,0.746,0.059,0.39,0.714,0.075,1.984,0.331,0.0186,0.0372,0.0134,0.009,0.0089,0.0152,0.3992,0.4436,0.3942,0.4058,0.4217,0.4126,1.2115,0.2155,1.21E-06,2.16E-07,1.21E-05,2.16E-06,0.041775402,0.007432529,0.046754264,0.008190385,55.66037736,8.40E-04,1.47E-04,9.87E-04,0.054944649,5.620617664,2.9,10.6,24.996,9.549,15.596,0.163,0.176,0.739,40.507,80.479,1.987,0.98,5.59,27.794,6.048,0.081,0.678,29.923,59.436,1.986,0.98,4.637,-26.87,22.94,28.28,18.25329004,0.756734902,0.663320229,398.1120769,48.8,55.6604,0.9077,1.0353,0.3483,0.0705,0.0193,0.4381,0.0869,147.2832,240.5517,58.5828,88.6136,1.1995,53.5287,0.23,0.0123,0.0035,0.0065,0.2897,0.0028,0.0333,0.025,0.323,12.9324
e_n_105_49,elv,no.inoc,105,49,6/17/22,2t,6/23/22,7/2/22,8/6/22,20.2,208.16,0.109,1.036,0.092,0.737,1.27,0,3.135,0.523,0.0156,NA,0.0159,0.009,0.0073,0.0156,0.4074,NA,0.4056,0.4102,0.3991,0.4205,0.8118,0,8.12E-07,0,8.12E-06,0,0.027060778,0,0.030285926,0,54.11764706,5.60E-04,0,5.60E-04,0.030285926,Inf,3,17,24.988,7.564,15.642,0.083,0.109,0.614,45.013,89.017,1.978,1.983,5.772,27.752,8.276,0.126,0.712,44.403,75.23,1.694,2.893,5.377,-23.13,32.92,33.72,2.305807753,0.583687255,0.490630224,80.6644884,53.9604,54.1176,0.8418,0.8442,0.4174,0.0841,0.013,0.5145,0.1078,125.7998,260.1481,91.1325,143.5046,1.4422,77.1184,0.4131,0.0196,0.0054,0.0115,0.5209,0,0,0.0365,0.5209,14.2901
e_n_105_50,elv,no.inoc,105,50,6/17/22,1t,6/22/22,7/2/22,8/6/22,17.2,176.24,0.094,0.982,0.073,0.547,1.033,0.04,2.675,0.446,0.0076,0.0365,0.015,0.0087,0.0083,0.0187,0.2071,0.4377,0.4194,0.4441,0.4199,0.4236,1.0253,0.051,1.03E-06,5.10E-08,1.03E-05,5.10E-07,0.034178,0.001699,0.038251391,0.001872238,53.28467153,7.18E-04,3.51E-05,7.53E-04,0.040123629,20.11653914,3,13.7,24.999,11.844,18.361,0.217,0.228,0.752,56.107,108.323,1.931,2.502,6.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.33,31.72,33.72,5.764519383,0.639066018,0.545894534,128.7716829,54.6512,53.2847,0.4148,0.4044,1.0557,0.2077,0.0361,1.2995,0.2227,399.747,619.7024,54.5806,80.5307,0.6491,87.7953,0.2613,0.016,0.0045,0.009,0.4588,0.0015,0.0175,0.031,0.4763,15.3624
e_n_105_51,elv,no.inoc,105,51,6/17/22,6t,6/23/22,7/2/22,8/6/22,18.6,187.91,0.095,1.045,0.071,0.673,1.529,0,3.318,0.553,0.0188,NA,0.0137,0.0085,0.0076,0.0189,0.4064,NA,0.4048,0.4125,0.3927,0.4286,1.0411,0.0714,1.04E-06,7.14E-08,1.04E-05,7.14E-07,0.033582473,0.002303978,0.037584888,0.002538903,52.98507463,7.09E-04,4.79E-05,7.57E-04,0.040123791,14.57586223,3.1,13.4,24.995,7.68,15.393,0.114,0.125,0.708,38.679,83.057,2.147,1.803,NA,NA,8.123,0.113,0.689,NA,NA,NA,4.685,7.76,-23.81,33.89,33.72,0,0.615051838,0.521929985,104.8164196,51.0753,52.9851,0.9623,0.9982,0.3137,0.0686,0.0146,0.397,0.0874,111.7372,223.9545,67.3684,123.144,1.5645,62.8874,0.3002,0.0175,0.0051,0.013,0.6308,0,0,0.0356,0.6308,17.7375
e_n_105_52,elv,no.inoc,105,52,6/17/22,6t,6/22/22,7/2/22,8/6/22,15.7,227.55,0.099,1.134,0.066,0.739,1.416,0.012,3.367,0.561,0.0144,0.0439,0.0153,0.0089,0.0076,0.0132,0.4048,0.4507,0.4174,0.4114,0.4173,0.418,0.911,0.1282,9.11E-07,1.28E-07,9.11E-06,1.28E-06,0.030367667,0.004272333,0.033986935,0.004707961,61.11111111,5.56E-04,7.70E-05,6.33E-04,0.038694896,7.107981587,3,10.8,24.999,5.32,8.986,0.103,0.106,0.771,26.13,51.681,1.978,1.741,3.595,27.469,7.148,0.117,0.733,35.151,73.871,2.102,1.741,5.716,-23.1,36.35,33.72,0,0.582304529,0.489250356,79.74998002,63.0573,61.1111,0.9105,0.8824,0.224,0.0451,0.0159,0.2851,0.1238,81.7969,138.163,51.6505,84.7736,1.5637,44.8734,0.228,0.0198,0.0056,0.0126,0.5826,5.00E-04,0.0054,0.0385,0.588,15.254
e_n_140_53,elv,no.inoc,140,53,6/17/22,3t,6/23/22,7/2/22,8/6/22,13.6,288.05,0.055,1.649,0.049,1.418,1.907,0,5.023,0.837,0.024,NA,0.0146,0.0092,0.0116,0.0203,0.4039,NA,0.4203,0.4207,0.4077,0.4172,0.5943,0.0479,5.94E-07,4.79E-08,5.94E-06,4.79E-07,0.019810667,0.001596333,0.022171735,0.001759103,40.49586777,5.48E-04,4.34E-05,5.91E-04,0.023930838,12.41010649,3,12.1,24.997,7.904,14.791,0.109,0.123,0.688,41.917,81.985,1.956,2.126,5.857,27.485,7.377,0.137,0.761,35.242,70.694,2.006,2.126,5.454,-23.84,33.2,34.0975,2.55898496,0.616436576,0.523311861,106.0530623,40.4412,40.4959,0.9702,0.9715,0.3372,0.0672,0.009,0.4134,0.0626,114.0567,213.4379,72.5138,120.252,1.5739,67.9989,0.3257,0.0265,0.0165,0.0175,0.8022,0,0,0.0605,0.8022,13.2639
